freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP02,PM,HR	: 	: 	: 	28 	29 	24 	19 
A,DEG1,CP02,PM,HU	: 	: 	: 	34 	23 	27 	23 
A,DEG1,CP02,PM,IE	: 	: 	79 	: 	32 	23 	18 
A,DEG1,CP02,PM,IT	28 	23 	18 	17 	17 	18 	18 
A,DEG1,CP02,PM,LT	: 	: 	: 	35 	28 	25 	22 
A,DEG1,CP02,PM,LU	23 	: 	22 	19 	16 	13 	12 
A,DEG1,CP02,PM,LV	: 	: 	: 	30 	32 	29 	24 
A,DEG1,CP02,PM,MT	: 	: 	: 	: 	24 	24 	24 e
A,DEG1,CP02,PM,NL	: 	: 	: 	: 	19 	31 	32 
A,DEG1,CP02,PM,NO	: 	: 	: 	31 	26 	27 	22 
A,DEG1,CP02,PM,PL	: 	: 	: 	25 	25 	22 	25 
A,DEG1,CP02,PM,PT	34 	27 	28 	22 	20 	15 	14 
A,DEG1,CP02,PM,RO	: 	: 	: 	: 	: 	55 	60 
A,DEG1,CP02,PM,SE	: 	32 	34 	19 	20 	20 	: 
A,DEG1,CP02,PM,SI	: 	: 	: 	21 	18 	16 	13 
A,DEG1,CP02,PM,SK	: 	: 	: 	26 	27 	25 	23 
A,DEG1,CP02,PM,UK	27 	38 	31 	23 	27 	23 	: 
A,DEG1,CP02,PM,XK	: 	: 	: 	: 	: 	42 	: 
A,DEG1,CP021,PM,AT	: 	: 	9 	11 	11 	10 	13 
A,DEG1,CP021,PM,BE	14 	17 	16 	15 	15 	14 	15 
A,DEG1,CP021,PM,BG	: 	: 	: 	11 	10 	12 	11 
A,DEG1,CP021,PM,CY	: 	: 	: 	4 	3 	4 	4 e
A,DEG1,CP021,PM,CZ	: 	: 	: 	16 	14 	15 	20 
A,DEG1,CP021,PM,DE	: 	16 	: 	10 	10 	10 	10 
A,DEG1,CP021,PM,DK	: 	24 	24 	20 	19 	16 	16 
A,DEG1,CP021,PM,EA	: 	: 	: 	10 u	10 i	: 	: 
A,DEG1,CP021,PM,EA12	: 	: 	: 	10 u	10 i	: 	: 
A,DEG1,CP021,PM,EA13	: 	: 	: 	10 u	10 i	: 	: 
A,DEG1,CP021,PM,EA17	: 	: 	: 	: 	10 i	: 	: 
A,DEG1,CP021,PM,EA18	: 	: 	: 	: 	10 i	: 	: 
A,DEG1,CP021,PM,EE	: 	: 	: 	15 	18 	17 	17 
A,DEG1,CP021,PM,EEA28	: 	: 	: 	11 e	11 i	: 	: 
A,DEG1,CP021,PM,EEA30_2007	: 	: 	: 	: 	11 i	: 	: 
A,DEG1,CP021,PM,EFTA	: 	: 	: 	20 u	18 u	: 	: 
A,DEG1,CP021,PM,EL	5 	: 	: 	6 	7 	11 	13 
A,DEG1,CP021,PM,ES	: 	8 	7 	6 	6 	6 	9 
A,DEG1,CP021,PM,EU15	: 	: 	: 	11 u	11 i	: 	: 
A,DEG1,CP021,PM,EU25	: 	: 	: 	11 e	11 i	: 	: 
A,DEG1,CP021,PM,EU27_2007	: 	: 	: 	11 u	11 i	: 	: 
